Engine_Name ,Engine_P_max  kW,Engine_P_min kW,Cost £,Engine_Mass (kg),Engine_Volume  (m3),Engine_Fuel_Type,"SFC Curve [Power kW, g/kwh]","Engine Fuel Consumption Curve [mcr, L/hr)",Battery_Name,Battery_Capacity (kWh),Battery_Cost,Mass (kg),Volume (m3),Voltage,Current
Cat C7.1,261,26,50000,730,0.779,Diesel,"[4, 399.50; 9, 295.12; 17, 253.29; 29, 234.19; 46, 230.39; 69, 234.66; 98, 230.81; 134, 230.44; 178, 222.43; 231, 223.04; 261, 224.30]","[1, 1.70; 3, 3.00; 6, 5.00; 11, 8.00; 18, 12.50; 26, 19.00; 37, 26.60; 51, 36.50; 68, 46.80; 89, 60.90; 100, 69.20]","CALB 3,2V 50Ah L148-NCM",0.183,62,0.861,0.000408,3,50
C32B 1641,1491,410,,3482,4.31,Diesel,"[410, 221.00; 821, 220.00; 1231, 222.00; 1641, 226.00]","[0, 0.00; 25, 107.10; 50, 213.50; 75, 323.03; 100, 438.38]",A123 22S3P,6.349,3000,42.4,0.0236,80,465
C32B 1790,1789,447,,3482,4.31,Diesel,"[447, 211.00; 895, 223.50; 1343, 226.00; 1789, 224.00]","[0, 0.00; 25, 111.49; 50, 236.45; 75, 358.77; 100, 473.68]",Shift Power 66,6.6,5742.19,93,0.071,88,450
JohnDeere PowerTech 4045TFM85,60,15,,507,0.515,Diesel,"[15, 273.00; 30, 236.00; 46, 229.00; 61, 232.00]","[0, 0.00; 25, 4.84; 50, 8.37; 75, 12.45; 100, 16.73]",Shift Power 75,7.5,6525.21,93,0.071,88,450
mtu 12V1600,100,10,,1839,4.6,Diesel,"[50, 301.18; 75, 282.00; 100, 262.26]","[0, 0.00; 50, 17.80; 75, 25.00; 100, 31.00]",Shift Power 88,8.8,7656.25,93,0.071,88,200
MAN 20V175D-ML,4400,440,,13100,14.9,Diesel,"[440, 225.00; 1100, 203.00; 2200, 204.00; 3300, 205.00; 3740, 199.00; 4400, 199.00]","[0, 0.00; 10, 119.00; 25, 267.00; 50, 537.00; 75, 809.00; 85, 890.00; 100, 1047.00]",Durapower 148 V,31.1,10116,220,0.139,148,315
MAN 12V175D-ML,2580,258,,8800,11.06,Diesel,"[258, 225.00; 645, 205.00; 1290, 209.00; 1935, 207.00; 2193, 202.00; 2580, 202.00]","[0, 0.00; 10, 70.00; 25, 158.00; 50, 323.00; 75, 479.00; 85, 530.00; 100, 623.00]",Durapower 333 V,32,8924.4,240,0.175,333,144
S-BV6M 628 (Fortuna Kingfisher),749,187.25,,9500,11.76,Diesel,"[187, 198.02; 375, 186.66; 562, 184.25; 637, 184.59; 749, 186.06]","[0, 0.00; 25, 43.83; 50, 82.63; 75, 122.34; 85, 138.91; 100, 164.73]",Durapower 666 V,42.6,16123.2,445,0.439,666,384
Caterpillar 3508 626 kW (Hydrograf),626,156.5,,5216,6.37,Diesel,"[157, 198.02; 313, 186.66; 470, 184.25; 532, 184.59; 626, 186.06]","[0, 0.00; 25, 36.63; 50, 69.06; 75, 102.25; 85, 116.10; 100, 137.68]",Shift PwrSwap 280 kWh,281.6,245000,3550,4.03,800,225
B&W Alpha 405-26 367kW (Arne Tiselius),367,91.75,,1000,1000,Diesel,"[92, 198.02; 184, 186.66; 275, 184.25; 312, 184.59; 367, 186.06]","[0, 0.00; 25, 21.48; 50, 40.49; 75, 59.95; 85, 68.06; 100, 80.72]",Corvus Blue Whale,43,13500,383,0.558,80,538
B&W Alpha 496R 530kW (Soloven),530,132.5,,1000,1000,Diesel,"[133, 198.02; 265, 186.66; 398, 184.25; 451, 184.59; 530, 186.06]","[0, 0.00; 25, 31.01; 50, 58.47; 75, 86.57; 85, 98.30; 100, 116.57]",CTS 614 V Lifepo4 Battery,61.4,4500,614.5,0.2637,614,100
"Wichmann 1 600 442, 742 kW (Sverdrupson)",742,185.5,,1000,1000,Diesel,"[186, 198.02; 371, 186.66; 557, 184.25; 631, 184.59; 742, 186.06]","[0, 0.00; 25, 43.42; 50, 81.86; 75, 121.20; 85, 137.61; 100, 163.19]",,,,,,,
John Deere 6135 AFM85 355 KW (Fortuna Robin),355,88.75,,1410,2.42,Diesel,"[89, 198.02; 178, 186.66; 266, 184.25; 302, 184.59; 355, 186.06]","[0, 0.00; 25, 20.77; 50, 39.16; 75, 57.99; 85, 65.84; 100, 78.08]",,,,,,,
Caterpillar 3512 TA 745 kW (Arctice Hunter),745,186.25,,6078,7.84,Diesel,"[186, 198.02; 373, 186.66; 559, 184.25; 633, 184.59; 745, 186.06]","[0, 0.00; 25, 43.59; 50, 82.19; 75, 121.69; 85, 138.17; 100, 163.85]",,,,,,,
B&W Alpha 23-30 735 kW (Arctic Ocean),735,183.75,,10,0.1,Diesel,"[184, 198.02; 368, 186.66; 551, 184.25; 625, 184.59; 735, 186.06]","[0, 0.00; 25, 43.01; 50, 81.09; 75, 120.06; 85, 136.32; 100, 161.65]",,,,,,,
Alpha Diesel 750 kW (Fortuna Puffin),750,187.5,,10,0.1,Diesel,"[188, 198.02; 375, 186.66; 563, 184.25; 638, 184.59; 750, 186.06]","[0, 0.00; 25, 43.89; 50, 82.74; 75, 122.51; 85, 139.10; 100, 164.95]",,,,,,,
Mercury Seapro 115 HP 4 Stroke (Fortuna Falcon),85.1,21.275,,165,0.59,Diesel,"[21, 198.02; 43, 186.66; 64, 184.25; 72, 184.59; 85, 186.06]","[0, 0.00; 25, 4.98; 50, 9.39; 75, 13.90; 85, 15.78; 100, 18.72]",,,,,,,
PM Engine Wartsila 6L20,1080,108,,9300,11.06,Diesel,"[108, 244.31; 216, 234.06; 324, 225.34; 432, 218.14; 540, 212.47; 810, 204.97; 918, 204.64; 1080, 207.00]","[0, 0.00; 10, 31.19; 20, 59.76; 30, 86.30; 40, 111.39; 50, 135.62; 75, 196.25; 85, 222.05; 100, 264.26]",,,,,,,
FC Engine MWM TBD 440-8 1.620 kW,800,80,,5500,10.59,Diesel,"[80, 197.91; 160, 189.97; 240, 183.23; 320, 177.71; 400, 173.40; 480, 170.30; 560, 168.42; 640, 167.74; 720, 168.28; 800, 170.03]","[0, 0.00; 10, 18.72; 20, 35.93; 30, 51.98; 40, 67.22; 50, 81.99; 60, 96.63; 70, 111.48; 80, 126.90; 90, 143.22; 100, 160.79]",,,,,,,
EMMA Maersk Engine,80080,8008,,2535000,25.48,Diesel,"[24024, 184.83; 40040, 168.89; 60060, 165.05; 80080, 170.72]","[0, 0.00; 30, 4530.98; 50, 6900.38; 75, 10115.43; 100, 13950.26]",,,,,,,
Nordhavn Methano Engine  330,330,33,,1660,2.5,Methanol,"[33, 727.27; 83, 521.21; 165, 484.85; 248, 456.57; 330, 439.39]","[0, 0.00; 10, 30.34; 25, 54.36; 50, 101.14; 75, 142.86; 100, 183.31]",,,,,,,
Wartsila 9L32M LFO CPP 60HZ IMO:T3,5220,522,750000,49000,62.911,Methanol,"[2610, 505.77; 3915, 496.79; 4437, 503.85; 5220, 510.90]","[0, 0.00; 50, 1320.06; 75, 1944.95; 85, 2235.57; 100, 2666.88]",,,,,,,
Wartsila 6L32M LFO CPP 60HZ IMO:T3,3480,348,600000,35000,46.06,Methanol,"[1740, 505.77; 2610, 496.79; 2958, 503.85; 3480, 510.90]","[0, 0.00; 50, 880.04; 75, 1296.63; 85, 1490.38; 100, 1777.92]",,,,,,,
Wartsila Methanol 8L32M LFO GENSET 60HZ IMO:T3,4480,2240,,43800,32.13,Methanol,"[2240, 530.13; 3360, 505.77; 3808, 501.92; 4480, 500.00]","[0, 0.00; 50, 1187.49; 75, 1699.38; 85, 1911.32; 100, 2240.00]",,,,,,,
Wartsila Methanol 6L32M HFO GENSET 60HZ IMO:T3,3360,1680,,34900,22.69,Methanol,"[1680, 531.41; 2520, 505.77; 2856, 501.92; 3360, 500.00]","[0, 0.00; 50, 892.77; 75, 1274.54; 85, 1433.49; 100, 1680.00]",,,,,,,
Wartsila Methanol 6L32M LFO GENSET 60HZ IMO:T3,3920,1960,,34900,22.69,Methanol,"[1960, 530.13; 2940, 505.77; 3332, 501.92; 3920, 500.00]","[0, 0.00; 50, 1039.05; 75, 1486.96; 85, 1672.41; 100, 1960.00]",,,,,,,
