Engine_Name ,Engine_P_max ,Engine_P_min,Cost,Emgine_Mass,Engine_Volume ,Engine_Fuel_Type,Engine_g_perkWh ,Engine Fuel Consumption Curve ,Engine Index  ,Retrofit Cost,Battery_Name,Battery_Capacity,Battery_Cost,Mass,Volume,Voltage,Current,Max_C_Rate,Battery Index,Battery Abb,BatteryCycleLimit
Horizon 30_2 (Exeter Derived),66,4,80000,160,1.3,FC,"[7, 175.07; 13, 74.40; 20, 53.15; 26, 50.44; 33, 52.21; 40, 55.11; 46, 58.36; 53, 59.52; 59, 61.36; 66, 64.70]","[0, 0.00; 10, 44.44; 20, 37.77; 30, 40.47; 40, 51.22; 50, 66.27; 60, 83.94; 70, 103.70; 80, 120.88; 90, 140.19; 100, 164.24]",FC2,4000,,,,,,,,,,,
Horizon 30_4 (Exeter Derived),132,8,160000,320,2.6,FC,"[13, 175.07; 26, 74.40; 40, 53.15; 53, 50.44; 66, 52.21; 79, 55.11; 92, 58.36; 106, 59.52; 119, 61.36; 132, 64.70]","[0, 0.00; 10, 88.88; 20, 75.55; 30, 80.95; 40, 102.44; 50, 132.54; 60, 167.89; 70, 207.39; 80, 241.76; 90, 280.39; 100, 328.48]",FC3,4000,,,,,,,,,,,
Horizon 30_6 (Exeter Derived),198,12,240000,480,3.9,FC,"[20, 175.07; 40, 74.40; 59, 53.15; 79, 50.44; 99, 52.21; 119, 55.11; 139, 58.36; 158, 59.52; 178, 61.36; 198, 64.70]","[0, 0.00; 10, 133.32; 20, 113.32; 30, 121.42; 40, 153.66; 50, 198.81; 60, 251.83; 70, 311.09; 80, 362.64; 90, 420.58; 100, 492.71]",FC4,4000,,,,,,,,,,,
Horizon 30_8 (Exeter Derived),264,16,320000,640,5.2,FC,"[26, 175.07; 53, 74.40; 79, 53.15; 106, 50.44; 132, 52.21; 158, 55.11; 185, 58.36; 211, 59.52; 238, 61.36; 264, 64.70]","[0, 0.00; 10, 177.76; 20, 151.10; 30, 161.89; 40, 204.88; 50, 265.09; 60, 335.78; 70, 414.78; 80, 483.52; 90, 560.78; 100, 656.95]",FC5,4000,,,,,,,,,,,
Horizon 30_10 (Exeter Derived),330,20,400000,800,6.5,FC,"[33, 175.07; 66, 74.40; 99, 53.15; 132, 50.44; 165, 52.21; 198, 55.11; 231, 58.36; 264, 59.52; 297, 61.36; 330, 64.70]","[0,0.00; 10, 222.20; 20, 188.87; 30, 202.36; 40, 256.10; 50, 331.36; 60, 419.72; 70, 518.48; 80, 604.40; 90, 700.97; 100, 821.19]",FC6,4000,,,,,,,,,,,
Horizon 30_16 (Exeter Derived),528,32,640000,1280,10.4,FC,"[53, 175.07; 106, 74.40; 158, 53.15; 211, 50.44; 264, 52.21; 317, 55.11; 370, 58.36; 422, 59.52; 475, 61.36; 528, 64.70]","[0,0.00; 10, 355.53; 20, 302.20; 30, 323.78; 40, 409.76; 50, 530.17; 60, 671.55; 70, 829.56; 80, 967.03; 90, 1121.56; 100, 1313.90]",FC7,4000,,,,,,,,,,,
Horizon 30_32 (Exeter Derived),1056,64,1280000,2560,20.8,FC,"[106, 175.07; 211, 74.40; 317, 53.15; 422, 50.44; 528, 52.21; 634, 55.11; 739, 58.36; 845, 59.52; 950, 61.36; 1056, 64.70]","[0,0.00; 10, 711.05; 20, 604.40; 30, 647.57; 40, 819.52; 50, 1060.34; 60, 1343.10; 70, 1659.13; 80, 1934.07; 90, 2243.12; 100, 2627.81]",FC8,4000,,,,,,,,,,,
Horizon 30_40 (Exeter Derived),1320,80,1600000,3200,26,FC,"[132, 175.07; 264, 74.40; 396, 53.15; 528, 50.44; 660, 52.21; 792, 55.11; 924, 58.36; 1056, 59.52; 1188, 61.36; 1320, 64.70]","[0, 0.00; 10, 888.82; 20, 755.49; 30, 809.46; 40, 1024.40; 50, 1325.43; 60, 1678.88; 70, 2073.91; 80, 2417.58; 90, 2803.90; 100, 3284.76]",FC9,4000,,,,,,,,,,,
Horizon 30_48 (Exeter Derived),1584,96,1920000,3840,31.2,FC,"[158, 175.07; 317, 74.40; 475, 53.15; 634, 50.44; 792, 52.21; 950, 55.11; 1109, 58.36; 1267, 59.52; 1426, 61.36; 1584, 64.70]","[0, 0.00; 10, 1066.58; 20, 906.59; 30, 971.35; 40, 1229.28; 50, 1590.51; 60, 2014.65; 70, 2488.69; 80, 2901.10; 90, 3364.68; 100, 3941.71]",FC10,4000,,,,,,,,,,,
Horizon 30_56 (Exeter Derived),1848,102,2240000,4480,36.4,FC,"[185, 175.07; 370, 74.40; 554, 53.15; 739, 50.44; 924, 52.21; 1109, 55.11; 1294, 58.36; 1478, 59.52; 1663, 61.36; 1848, 64.70]","[0, 0.00; 10, 1244.34; 20, 1057.69; 30, 1133.24; 40, 1434.16; 50, 1855.60; 60, 2350.43; 70, 2903.47; 80, 3384.62; 90, 3925.46; 100, 4598.66]",FC11,4000,,,,,,,,,,,
Horizon 30_62 (Exeter Derived),2046,124,2480000,9920,40.3,FC,"[205, 175.07; 409, 74.40; 614, 53.15; 818, 50.44; 1023, 52.21; 1228, 55.11; 1432, 58.36; 1637, 59.52; 1841, 61.36; 2046, 64.70]","[0, 0.00; 10, 1377.67; 20, 1171.02; 30, 1254.66; 40, 1587.82; 50, 2054.41; 60, 2602.26; 70, 3214.56; 80, 3747.25; 90, 4346.04; 100, 5091.38]",FC12,4000,,,,,,,,,,,
