Engine_Name ,Engine_P_max ,Engine_P_min,Cost,Emgine_Mass,Engine_Volume ,Engine_Fuel_Type,Engine_g_perkWh ,Engine Fuel Consumption Curve ,Engine Index  ,Retrofit Cost,Battery_Name,Battery_Capacity,Battery_Cost,Mass,Volume,Voltage,Current,Max_C_Rate,Battery Index,Battery Abb,BatteryCycleLimit,,,,
PM Engine Wartsila 6L20,1080,108,50000,9300,11.06,Diesel,"[108, 244.31; 216, 234.06; 324, 225.34; 432, 218.14; 540, 212.47; 810, 204.97; 918, 204.64; 1080, 207.00]","[0, 0.00; 10, 31.19; 20, 59.76; 30, 86.30; 40, 111.39; 50, 135.62; 75, 196.25; 85, 222.06; 100, 264.26]",D1,4000,CTS 614 V Lifepo4 Battery,61.4,4500,614.5,0.2637,614,100,1,B1,LFPO,3000,,,,
PM Engine Wartsila 6L20,1080,108,50000,9300,11.06,MIX5,"[108, 250.98; 216, 240.45; 324, 231.50; 432, 224.10; 540, 218.27; 810, 210.57; 918, 210.23; 1080, 212.65]","[0, 0.00; 10, 32.15; 20, 61.60; 30, 88.96; 40, 114.82; 50, 139.80; 75, 202.30; 85, 228.90; 100, 272.40]",D2,4000,CTS 614 V Lifepo4 Battery,61.4,4500,614.5,0.2637,614,100,1,B1,LFPO,3000,,,,
PM Engine Wartsila 6L20,1080,108,50000,9300,11.06,MIX20,"[108, 273.39; 216, 261.92; 324, 252.16; 432, 244.10; 540, 237.76; 810, 229.36; 918, 228.99; 1080, 231.64]","[0, 0.00; 10, 35.38; 20, 67.78; 30, 97.89; 40, 126.35; 50, 153.83; 75, 222.60; 85, 251.87; 100, 299.74]",D3,4000,CTS 614 V Lifepo4 Battery,61.4,4500,614.5,0.2637,614,100,1,B1,LFPO,3000,,,,
PM Engine Wartsila 6L20,1080,108,50000,9300,11.06,Methanol,"[108, 521.77; 216, 499.88; 324, 481.25; 432, 465.88; 540, 453.77; 810, 437.75; 918, 437.05; 1080, 442.09]","[0, 0.00; 10, 71.15; 20, 136.33; 30, 196.88; 40, 254.11; 50, 309.39; 75, 447.70; 85, 506.58; 100, 602.84]",D4,4000,,,,,,,,,,,,,,,
S-BV6M 628 (Fortuna Kingfisher),749,74.9,50000,9500,11.76,Diesel,"[187, 198.02; 375, 186.66; 562, 184.25; 637, 184.59; 749, 186.06]","[0, 0.00; 25, 43.83; 50, 82.63; 75, 122.34; 85, 138.91; 100, 164.73]",D5,4000,,,,,,,,,,,,,,,
Fictional Methanol FK,749,74.9,50000,9500,11.76,Methanol,"[187, 422.91; 375, 398.65; 562, 393.50; 637, 394.22; 749, 397.36]","[0, 0.00; 25, 99.85; 50, 188.75; 75, 279.23; 85, 317.07; 100, 375.79]",D6,4000,,,,,,,,,,,,,,,
Fictional Methanol5%Mix FK,749,74.9,50000,9500,11.76,MIX5,"[187, 203.43; 375, 191.76; 562, 189.28; 637, 189.63; 749, 191.14]","[0, 0.00; 25, 45.12; 50, 85.29; 75, 126.17; 85, 143.27; 100, 169.80]",D7,4000,,,,,,,,,,,,,,,
Fictional Methanol60%Mix FK,749,74.9,50000,9500,11.76,MIX60,"[187, 290.80; 375, 274.12; 562, 270.58; 637, 271.08; 749, 273.24]","[0, 0.00; 25, 66.91; 50, 126.48; 75, 187.10; 85, 212.46; 100, 251.81]",D8,4000,,,,,,,,,,,,,,,
AASTJELL_Wartslia8I26_Diesel,2600,260,50000,21060,49.86,Diesel,"[1300, 196.60; 1950, 190.60; 2210, 188.70; 2600, 191.50]","[0, 0.00; 50, 302.10; 75, 439.33; 85, 492.94; 100, 588.53]",D9,4001,,,,,,,,,,,,,,,
AASTJELL_Wartslia8I26_Methanol,2600,260,50000,21060,49.86,Methanol,"[1300, 419.87; 1950, 407.06; 2210, 403.00; 2600, 408.98]","[0, 0.00; 50, 689.19; 75, 1002.23; 85, 1124.54; 100, 1342.62]",D10,4002,,,,,,,,,,,,,,,
